NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016
14 de Julho,BRA0000012,100.71000000000001,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,-29.064753,-51.674942,2008,Hydro,,,,,,,,
29 de Outubro,BRA0029920,0.062,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,-26.481946,-49.076673,,Oil,,,,,,,,
300KVA SCANIA,BRA0032686,0.24,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,-21.777436,-46.596899,2013,Oil,,,,,,,,
3M Itapetininga,BRA0028642,3.84,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,-23.592721,-48.090051,,Oil,,,,,,,,
3M Sumaré,BRA0028919,6.4,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,-22.815224,-47.178121,2001,Oil,,,,,,,,
A.C.D.A. IMPORTAÇÃO E EXPORTAÇÃO - AMAPÁ,BRA0032707,0.28800000000000003,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,-10.007806,-67.801811,2013,Oil,,,,,,,,
A.C.D.A. IMPORTAÇÃO E EXPORTAÇÃO - AVIÁRIO,BRA0032725,0.272,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,-9.968567,-67.802633,2011,Oil,,,,,,,,
A.C.D.A. IMPORTAÇÃO E EXPORTAÇÃO - BOSQUE,BRA0032728,0.272,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,-9.964575,-67.820717,2010,Oil,,,,,,,,
A.C.D.A. IMPORTAÇÃO E EXPORTAÇÃO - CHICO MENDES,BRA0032704,0.272,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,-9.982547,-67.806672,2011,Oil,,,,,,,,
A.C.D.A. IMPORTAÇÃO E EXPORTAÇÃO - MIX,BRA0032701,0.8,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,-9.962153,-67.847256,2013,Oil,,,,,,,,
A.C.D.A. IMPORTAÇÃO E EXPORTAÇÃO - PVH,BRA0032731,0.6,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,-8.766414,-63.884125,2011,Oil,,,,,,,,
A.C.D.A. IMPORTAÇÃO E EXPORTAÇÃO - RIO DE JANEIRO,BRA0032874,0.4,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,-9.973128,-67.826394,2013,Oil,,,,,,,,
A.C.D.A. IMPORTAÇÃO E EXPORTAÇÃO - VAREJÃO,BRA0032775,0.0768,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,-9.974214,-67.803247,2011,Oil,,,,,,,,
ABC,BRA0030905,0.184,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,-20.74582,-44.726515,2011,Oil,,,,,,,,
ABC,BRA0031170,0.4,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,-20.11973,-44.921225,2011,Oil,,,,,,,,
ACDA,BRA0030904,0.6940000000000001,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,-9.963232,-67.791368,,Oil,,,,,,,,
ADAS - Hospital e Maternidade São Domingos,BRA0031468,0.44,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,-19.818846,-47.923115,2014,Oil,,,,,,,,
AGC Vidros do Brasil,BRA0035497,3.36,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,,,2013,Oil,,,,,,,,
AGCO VALTRA,BRA0033732,0.32,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,,,2015,Oil,,,,,,,,
AGRISA AGROINDUSTRIAL,BRA0032714,0.4,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,-22.60003,-42.147329,2014,Oil,,,,,,,,
AGUA MINERAL BRUNADO MINERAÇÃO,BRA0032778,0.352,2017,Brazil,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,-15.722681,-55.13905,2013,Oil,,,,,,,,
