PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Effeciency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,Data Year
1000208,Dangjin,Coal,4000,,Ultra-Super Critical,1999-2004,"8 units, 500 MW each",Korea East West Power,"33,067",,KEWP,http://www.ewp.co.kr/eng/main/main.asp,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000210,Honum,Coal,500,,,1973,2 units 250 MW each,Korea East West Power,"3,843",,KEWP,http://www.ewp.co.kr/eng/main/main.asp,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000191,Boryeong (poryang),Coal,"4,000",,Ultra-Super Critical,1997-2008,8 units,Korea Midland Power (KOMIPO),,,KOMIPO,http://komipo.en.ec21.com/Coal_fired_power_plants--487304_487306.html,,,,,,,Operating,South Korea,,,,,,,,,,,,2016
1000187,Yeongheung,Coal,5080,,,2004-2014,"6 units, different years (website)",Korea South East Power (KOSEP),,Bituminous Coal,KOSEP,https://www.kosep.co.kr/kosep/hw/en/ov/ovhw18/main.do?menuCd=EN02030102,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000188,Yeongdong,Coal,325,,,1979-2004,2 units different years (website),Korea South East Power (KOSEP),,Anthracite Coal,KOSEP,https://www.kosep.co.kr/kosep/hw/en/ov/ovhw18/main.do?menuCd=EN02030102,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000189,Yeosu,Coal,678,,,2011,1 unit,Korea South East Power (KOSEP),,Bituminous Coal,KOSEP,https://www.kosep.co.kr/kosep/hw/en/ov/ovhw18/main.do?menuCd=EN02030102,,,,,,,Operating,South Korea,,,,,,,,,,,,
1022448,Namejoo 2,Coal,100,,Sub-critical Thermal,2007,1,Korea Southern Power,,second unit of Namejoo runs on Coal,KSP,https://www.kospo.co.kr/english/?mn=sub&mcode=01030100,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000196,Taean,Coal,4000,,,1995-2007,8 units,Korea Western Power,,,KWP,https://www.iwest.co.kr/eng/sub.asp?mid=1280&act=abou0602,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000211,Danghae,Coal,400,,,1998-1999,2 units,Korea East West Power,"2,745",Anthracite Coal,KEWP,http://www.ewp.co.kr/eng/main/main.asp,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000194,Seocheon,Coal,400,,,1983,,Korea Midland Power (KOMIPO),,Anthracite Coal,KOMIPO,http://komipo.en.ec21.com/Anthracite_coal_power_plants--487304_487312.html,,,,,,,Operating,South Korea,,,,,,,,,,,,2016
1000186,Samcheonpo,Coal,3240,,,1983-1998,"6 units, different years (website)",Korea South East Power (KOSEP),,,KOSEP,https://www.kosep.co.kr/kosep/hw/en/ov/ovhw18/main.do?menuCd=EN02030102,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000202,Hadong,Coal,4000,,,1997-2009,8 units,Korea Southern Power,,Bituminious Coal,KSP,https://www.kospo.co.kr/english/?mn=sub&mcode=01030100,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000205,Yeongnam,Coal,400,,Sub-critical Thermal,,,Korea Southern Power,,Anthracite Coal,KSP,https://www.kospo.co.kr/english/?mn=sub&mcode=01030100,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000223,Anheong,Hydro,0.48,,,1978,3 units,Korea Hydro and Nuclear,,,KHNP,https://cms.khnp.co.kr/eng/hydroelectric-plants/,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000224,Seomjin gang,Hydro,34.8,,,1945,3 units,Korea Hydro and Nuclear,,,KHNP,https://cms.khnp.co.kr/eng/hydroelectric-plants/,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000225,Boseong gang,Hydro,4.5,,,1937,2 units,Korea Hydro and Nuclear,,,KHNP,https://cms.khnp.co.kr/eng/hydroelectric-plants/,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000226,Goesan,Hydro,2.8,,,1957,2 units,Korea Hydro and Nuclear,,,KHNP,https://cms.khnp.co.kr/eng/hydroelectric-plants/,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000227,Gangneung,Hydro,82,,,1991,2 units,Korea Hydro and Nuclear,,,KHNP,https://cms.khnp.co.kr/eng/hydroelectric-plants/,,,,,,,Operating,South Korea,,,,,,,,,,,,
1022451,Hanlim,Kerosine,105,,CCGT,2014,3x35,Korea Southern Power,,,KSP,https://www.kospo.co.kr/english/?mn=sub&mcode=01030100,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000201,Busan (pusan),LNG,1800,,CCGT,2001-2009,12 units (GEO),Korea Southern Power,,,KSP,https://www.kospo.co.kr/english/?mn=sub&mcode=01030100,,,,,,,Operating,South Korea,,,,Biomass,,,,,,,,
1000203,Adong,LNG,417,,CCGT,2007,,Korea Southern Power,,,KSP,https://www.kospo.co.kr/english/?mn=sub&mcode=01030100,,,,,,,Operating,South Korea,,,,,,,,,,,,
1022449,Yeongwol,LNG,848,,CCGT,2010,,Korea Southern Power,,,KSP,https://www.kospo.co.kr/english/?mn=sub&mcode=01030100,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000212,Ilsan,Natural Gas,900,,,1993-1996,8 units,Korea East West Power,"3,916",,KEWP,http://www.ewp.co.kr/eng/main/main.asp,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000192,Boryeong (CC),Natural Gas,"1,800",,CCGT,2004,,Korea Midland Power (KOMIPO),,,KOMIPO,http://komipo.en.ec21.com/LNG_combined_cycle_plants--487304_487308.html,,,,,,,Operating,South Korea,,,,,,,,,,,,2016
1000190,Bundang,Natural Gas,922,,,1993-1997,"2 units, (steam and comb cycle)",Korea South East Power (KOSEP),,,KOSEP,https://www.kosep.co.kr/kosep/hw/en/ov/ovhw18/main.do?menuCd=EN02030102,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000204,Shinincheon,natural gas,1800,,CCGT,2012,,Korea Southern Power,,,KSP,https://www.kospo.co.kr/english/?mn=sub&mcode=01030100,,,,,,,Operating,South Korea,,37.50805,126.6159,,,,,,,,,
1000198,Pyeongtaek,Natural Gas,1348,,Sub-critical Thermal,1992-2014,8 units,Korea Western Power,,,KWP,https://www.iwest.co.kr/eng/sub.asp?mid=1280&act=abou0604,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000199,Seoincheon,Natural Gas,1800,,CCGT,1992,16 units,Korea Western Power,,,KWP,https://www.iwest.co.kr/eng/sub.asp?mid=1280&act=abou0605,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000200,Gunsan,Natural Gas,719,,CCGT,2010,3 units,Korea Western Power,,,KWP,https://www.iwest.co.kr/eng/sub.asp?mid=1280&act=abou0606,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000213,Kori,Nuclear,3137,,,1978-1986,6 reactors,Korea Hydro and Nuclear,,,KHNP,https://cms.khnp.co.kr/eng/plant-status/,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000214,Shin-Kori,Nuclear,3340,,PWR,2011-2016,2 reactors (1000 MW each),Korea Hydro and Nuclear,,,KHNP,https://cms.khnp.co.kr/eng/plant-status/,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000215,Wolsong,Nuclear,2799,,PHWR,1983-1999,"4 reactors (one 679 MW, other 3 700 MW",Korea Hydro and Nuclear,,,KHNP,https://cms.khnp.co.kr/eng/plant-status/,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000216,Shin-Wolsong,Nuclear,2000,,PWR,2012,1 reactor,Korea Hydro and Nuclear,,,KHNP,https://cms.khnp.co.kr/eng/plant-status/,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000217,Hanbit,Nuclear,5900,,,1986-2002,6 reactors,Korea Hydro and Nuclear,,,KHNP,https://cms.khnp.co.kr/eng/plant-status/,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000218,Hanul,Nuclear,5900,,23076,1988-2005,6 reactors,Korea Hydro and Nuclear,,,KHNP,https://cms.khnp.co.kr/eng/plant-status/,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000209,Ulsan,Oil,3000,,,1970-1972,3 units,Korea East West Power,,,KEWP,http://www.ewp.co.kr/eng/main/main.asp,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000193,Jeju,Oil,255,,,2000-2009,5 units,Korea Midland Power (KOMIPO),,,KOMIPO,http://komipo.en.ec21.com/Oil_power_plants--487304_487314.html,,,,,,,Operating,South Korea,,,,,,,,,,,,2016
1000206,Namejoo 1,Oil,100,,Sub-critical Thermal,2006,2,Korea Southern Power,,,KSP,https://www.kospo.co.kr/english/?mn=sub&mcode=01030100,,,,,,,Operating,South Korea,,,,,,,,,,,,
1000197,Pyeongtaek,Oil,1400,,Sub-critical Thermal,1980-1983,"yes, 4 units",Korea Western Power,,,KWP,https://www.iwest.co.kr/eng/sub.asp?mid=1280&act=abou0603,,,,,,,Operating,South Korea,,,,,,,,,,,,
1023595,Jindosun,Solar,2.97,,PV,2009,,Eurus Energy Holdings,,,Eurus Energy Holdings,http://eurus-energy.com/en/project/index.php?area=asia,,,,,,,Operating,South Korea,,,,,,,,,,,,
1022452,Seongsan,Wind,20,,Onshore Wind,2010,"2x6, 2x4",Korea Southern Power,,,KSP,https://www.kospo.co.kr/english/?mn=sub&mcode=01030100,,,,,,,Operating,South Korea,,,,,,,,,,,,
1023594,Gowon,Wind,18,,Onshore Wind,2016,,Eurus Energy Holdings,,,Eurus Energy Holdings,http://eurus-energy.com/en/project/index.php?area=asia,,,,,,,Operating,South Korea,,,,,,,,,,,,
1022450,Seoul Thermal,Natural Gas,388,Seoul,CHP,,,Korea Southern Power,,Converted from oil power plant to natural gas in 2004,KSP,http://komipo.en.ec21.com/Combined_heat_and_power_plants--487304_487310.html,,,,,,,Operating,South Korea,,,,,,,,,,,,
